model,run_type,tag,view,chem,n_seeds,seeds,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_mape_mean,test_mape_std,test_15_accuracy_mean,test_15_accuracy_std,test_10_accuracy_mean,test_10_accuracy_std,test_seen_mape_mean,test_seen_mape_std,test_unseen_mape_mean,test_unseen_mape_std,val_mape_mean,val_mape_std,val_15_accuracy_mean,val_15_accuracy_std
CPMLP,Pooled,late_mlpE16,per-chem-best-val,CALB,3,42 2021 2024,96.3186,35.214,145.8124,36.6737,0.1581,0.0605,53.9098,22.7705,51.225,23.6803,0.1287,0.0884,0.2498,0.1005,0.0722,0.0089,91.2121,5.8304
CPMLP,Pooled,late_mlpE16,per-chem-best-val,Li-ion,3,42 2021 2024,148.6466,0.633,264.8084,7.2893,0.1839,0.0027,60.9958,1.0978,46.27,1.3733,0.1608,0.0004,0.2206,0.0077,0.2578,0.0058,62.1317,1.5748
CPMLP,Pooled,late_mlpE16,per-chem-best-val,Na-ion,3,42 2021 2024,56.4163,3.0118,64.8224,0.7195,0.3605,0.0344,23.2667,8.2192,9.4,9.1448,0.2937,0.0361,0.4607,0.0353,0.1942,0.0855,53.1667,22.3574
CPMLP,Pooled,late_mlpE16,per-chem-best-val,Zn-ion,3,42 2021 2024,219.9282,42.6547,354.1755,34.4001,0.6411,0.2542,24.9851,13.6315,18.6184,12.2349,0.6134,0.2197,0.7615,0.3419,0.6624,0.2332,27.6333,7.414
CPMLP,Pooled,late_mlpE16,single-checkpoint,CALB,3,42 2021 2024,113.3744,38.6419,160.1544,38.8567,0.1826,0.082,53.905,16.5648,43.9704,18.973,0.1563,0.1023,0.2537,0.057,0.1269,0.016,70.7444,7.5432
CPMLP,Pooled,late_mlpE16,single-checkpoint,Li-ion,3,42 2021 2024,146.9381,4.8414,266.6433,10.2283,0.1839,0.0121,60.9852,1.8503,44.8291,1.8733,0.1626,0.0161,0.2178,0.0064,0.2689,0.0112,63.0,1.9353
CPMLP,Pooled,late_mlpE16,single-checkpoint,Na-ion,3,42 2021 2024,56.5706,3.9122,65.9199,1.012,0.3445,0.0295,18.0667,5.0182,9.6667,8.9582,0.2803,0.0412,0.4408,0.0154,0.2102,0.0956,48.5,22.1175
CPMLP,Pooled,late_mlpE16,single-checkpoint,Zn-ion,3,42 2021 2024,220.7567,42.0261,350.9614,38.8788,0.6668,0.232,18.4018,10.1867,12.4851,8.2918,0.6322,0.2051,0.7998,0.2982,0.6635,0.2329,25.7167,7.336
CPMLP,Pooled,late_mlpE16_quick,per-chem-best-val,CALB,1,2021,177.7426,0.0,197.2522,0.0,0.4401,0.0,52.7163,0.0,20.1207,0.0,0.4588,0.0,0.3651,0.0,0.2013,0.0,66.5996,0.0
CPMLP,Pooled,late_mlpE16_quick,per-chem-best-val,Na-ion,1,2021,70.1773,0.0,73.0417,0.0,0.442,0.0,1.2,0.0,0.8,0.0,0.4107,0.0,0.489,0.0,0.1321,0.0,62.6667,0.0
